web-scraper-order,web-scraper-start-url,vidse,vidse-href,name,thu,vid
"1710317182-1","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/ashlyn-malloy/4355/","Ginger chick is fucking with brunette","https://stream.nudezz.com/videos/9000/9245/13.jpg","https://stream.nudezz.com/secure/1710320778/Lmw6lpOsOrLeMmSlX2qgVg/9000/9245/480.mp4"
"1710317190-2","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/b/bree-daniels/100/","Tender blonde is having sensual solo","https://stream.nudezz.com/videos/1/102/08.jpg","https://stream.nudezz.com/secure/1710320782/O2n4ItRX19nzgyaVuY0VTg/1/102/480.mp4"
"1710317192-3","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/s/sicilia/441/","Sensual blonde is enjoying closeness on cam","https://stream.nudezz.com/videos/8000/8734/10.jpg","https://stream.nudezz.com/secure/1710320789/6U2EcIoZgxT1ZNsjGpVcUw/8000/8734/480.mp4"
"1710317195-4","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/connie-carter/4250/","Hot babe in black lingerie is masturbating","https://stream.nudezz.com/videos/9000/9319/05.jpg","https://stream.nudezz.com/secure/1710320791/5BUCx1GPLUWcI-HbOf6fNA/9000/9319/480.mp4"
"1710317197-5","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/v/victoria-love/352/","Hot brunette is showing solo skills gently","https://stream.nudezz.com/videos/1/390/07.jpg","https://stream.nudezz.com/secure/1710320794/IYEcHlinsesK00_0KO9CNA/1/390/480.mp4"
"1710317200-6","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/alexis-crystal/4357/","Blonde in white stockings gets fucked","https://stream.nudezz.com/videos/9000/9276/12.jpg","https://stream.nudezz.com/secure/1710320796/7LBA05CxmWM8mecz1jSmhg/9000/9276/480.mp4"
"1710317205-7","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/j/jessi-june/357/","Model in yellow pantiess is fucking chick","https://stream.nudezz.com/videos/1/583/12.jpg","https://stream.nudezz.com/secure/1710320799/3nlIDtcRu55FA5dLNzIycA/1/583/480.mp4"
"1710317208-8","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/k/kiara-lord/491/","Sweet blondes are sharing strong penis","https://stream.nudezz.com/videos/9000/9248/09.jpg","https://stream.nudezz.com/secure/1710320804/Ms5zLxeQnt8GY9GQTZ1duw/9000/9248/480.mp4"
"1710317211-9","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/g/giselle-leon/144/","Masseur is banging hot brunette","https://stream.nudezz.com/videos/1/150/07.jpg","https://stream.nudezz.com/secure/1710320807/hWqRhTNWKRZQVDtZsRGSXg/1/150/480.mp4"
"1710317213-10","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/w/whitney-westgate/348/","Busty brunette is enjoying sensual penetration","https://stream.nudezz.com/videos/1/386/11.jpg","https://stream.nudezz.com/secure/1710320810/nhAHFKcHD3SnTm1jDtIj6g/1/386/480.mp4"
"1710317216-11","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/chloe-amour/354/","Sexy babe in white panties gets fucked","https://stream.nudezz.com/videos/1/392/10.jpg","https://stream.nudezz.com/secure/1710320812/qNcOeVw1FZ9Pculg8bXNQA/1/392/480.mp4"
"1710317218-12","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/adrianna-luna/171/","Hot girls are showing lesbian skills","https://stream.nudezz.com/videos/1/178/07.jpg","https://stream.nudezz.com/secure/1710320815/lS-iuECvktEVnIh17Y28yw/1/178/480.mp4"
"1710317220-13","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/adele-sunshine/4361/","Sensual blonde is getting fucked gently","https://stream.nudezz.com/videos/9000/9317/09.jpg","https://stream.nudezz.com/secure/1710320817/aleSB6W49auf6FxBOUj96g/9000/9317/480.mp4"
"1710317222-14","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/l/lou-lou/254/","Solo from blonde in purple lingerie","https://stream.nudezz.com/videos/1/274/12.jpg","https://stream.nudezz.com/secure/1710320819/YKshvvCQAXHw8FP_uUNzPw/1/274/480.mp4"
"1710317225-15","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/v/victoria-lawson/333/","Man is licking sexy girlfriend's pussy","https://stream.nudezz.com/videos/1/368/10.jpg","https://stream.nudezz.com/secure/1710320821/R2TK7Io-zF3Jg1uSXSgPdg/1/368/480.mp4"
"1710317227-16","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/b/blanche-bradburry/384/","Hot blonde gets covered with jizz","https://stream.nudezz.com/videos/8000/8676/02.jpg","https://stream.nudezz.com/secure/1710320824/sJr-Co6iYmnqqs50iUmWig/8000/8676/480.mp4"
"1710317229-17","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/v/viola/391/","Elegant blonde in white is masturbating","https://stream.nudezz.com/videos/8000/8683/09.jpg","https://stream.nudezz.com/secure/1710320826/hT85pv5-Zs3kQJ3Qc7zMNw/8000/8683/480.mp4"
"1710317231-18","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/m/maria/4294/","Juicy girl is taking shower with pleasure","https://stream.nudezz.com/videos/9000/9270/09.jpg","https://stream.nudezz.com/secure/1710320828/QZ7tns_E_M2cC8rqAN0phQ/9000/9270/480.mp4"
"1710317234-19","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/j/janice-griffith/4716/","Brunette guitar player gets fucked","https://stream.nudezz.com/videos/9000/9207/03.jpg","https://stream.nudezz.com/secure/1710320831/8RI6Eka8GUgRU6GdotpX1Q/9000/9207/480.mp4"
"1710317236-20","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/chastity-lynn/324/","Lustful blonde is enjoying fingering","https://stream.nudezz.com/videos/1/358/12.jpg","https://stream.nudezz.com/secure/1710320833/K01daWCwRPrfp2ht0mf34g/1/358/480.mp4"
"1710317238-21","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/s/samantha-ryan/185/","Babe in red lingerie gets fucked","https://stream.nudezz.com/videos/1/196/02.jpg","https://stream.nudezz.com/secure/1710320835/s2J93kue3OETeDHcM1-uuw/1/196/480.mp4"
"1710317241-22","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/clover/4249/","Elegant girl is masturbating outdoors","https://stream.nudezz.com/videos/9000/9313/03.jpg","https://stream.nudezz.com/secure/1710320837/2tknXrXv3CFpiJ7M1WksWA/9000/9313/480.mp4"
"1710317243-23","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/casey-calvert/139/","Lovely babe in black stockings gets fucked","https://stream.nudezz.com/videos/1/144/06.jpg","https://stream.nudezz.com/secure/1710320840/VzLwUK3Jje01nQO_JsYHRw/1/144/480.mp4"
"1710317245-24","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/h/hayden-hawkens/328/","Tattooed girl is enjoying passionate solo","https://stream.nudezz.com/videos/1/362/06.jpg","https://stream.nudezz.com/secure/1710320842/v_gl95_VfiNxUbNonFIe6A/1/362/480.mp4"
"1710317247-25","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/t/tiffany-tyler/96/","Brunette in blue lingerie gets fucked","https://stream.nudezz.com/videos/1/98/04.jpg","https://stream.nudezz.com/secure/1710320844/T2YPNobvvddj0xy1mvLNWQ/1/98/480.mp4"
"1710317273-26","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/w/whitney-conroy/4348/","Tender blonde is fingering her shaved pussy","https://stream.nudezz.com/videos/9000/9296/11.jpg","https://stream.nudezz.com/secure/1710320846/3z7IxdOPowYqBP_qrH3C1g/9000/9296/480.mp4"
"1710317279-27","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/v/victoria-lynn/431/","Gorgeous lady is fingering her pussy","https://stream.nudezz.com/videos/8000/8724/07.jpg","https://stream.nudezz.com/secure/1710320872/qDvDqHnYTtfiyCoNJ7BLeg/8000/8724/480.mp4"
"1710317282-28","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/g/giselle-leon/339/","Girl in yellow shorts is getting fucked","https://stream.nudezz.com/videos/1/375/11.jpg","https://stream.nudezz.com/secure/1710320878/L15nqiQuyvhSjvyR5QAJaQ/1/375/480.mp4"
"1710317285-29","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/t/taylor-vixen/253/","Hot sluts are enjoying lesbian closeness","https://stream.nudezz.com/videos/1/273/09.jpg","https://stream.nudezz.com/secure/1710320881/4w5Zm5454rue_ZTKYyT7bQ/1/273/480.mp4"
"1710317287-30","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/z/zoey-paige/388/","Blonde in black stockings gets banged deep","https://stream.nudezz.com/videos/8000/8680/06.jpg","https://stream.nudezz.com/secure/1710320884/1gKgmUbPxmVOZbORL5aXkw/8000/8680/480.mp4"
"1710317289-31","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/n/natasha-malkova/437/","Girl in black shoes is masturbating","https://stream.nudezz.com/videos/8000/8730/03.jpg","https://stream.nudezz.com/secure/1710320886/yfB6VBS4kQe8EKZfKavIzg/8000/8730/480.mp4"
"1710317291-32","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/r/rylie-richman/110/","Hot blonde is enjoying fuck outdoors","https://stream.nudezz.com/videos/1/113/01.jpg","https://stream.nudezz.com/secure/1710320888/Gu09zuLFXEeB7_yFTeb6BQ/1/113/480.mp4"
"1710317294-33","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/alyssa-branch/268/","Sexy girl is playing with boyfriend's dick","https://stream.nudezz.com/videos/1/289/14.jpg","https://stream.nudezz.com/secure/1710320891/Q2rAWxraVRsLYLESMT47Vw/1/289/480.mp4"
"1710317296-34","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/r/rylie-richman/267/","Blonde in black lingerie gets fucked deep","https://stream.nudezz.com/videos/1/288/05.jpg","https://stream.nudezz.com/secure/1710320893/vXEAuwWZllOz-Fa1cTReXg/1/288/480.mp4"
"1710317299-35","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/abigaile-johnson/218/","Hot chicks are fucking next to pool","https://stream.nudezz.com/videos/1/233/09.jpg","https://stream.nudezz.com/secure/1710320895/toBlRdT1e8_XuBuOxVfbfg/1/233/480.mp4"
"1710317301-36","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/ava-taylor/456/","Elegant girl is being fucked so deep","https://stream.nudezz.com/videos/8000/8750/05.jpg","https://stream.nudezz.com/secure/1710320898/YsEHGpIIwTHVckPbFJW-CQ/8000/8750/480.mp4"
"1710317304-37","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/w/whitney-westgate/463/","Adorable brunette is enjoying deep fuck","https://stream.nudezz.com/videos/8000/8757/10.jpg","https://stream.nudezz.com/secure/1710320901/CyYpmvItM3IrXm3SJVrbGw/8000/8757/480.mp4"
"1710317307-38","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/l/lexi-swallow/318/","Busty whore is getting banged deep","https://stream.nudezz.com/videos/1/351/04.jpg","https://stream.nudezz.com/secure/1710320904/E4cIThrA-_8oCR4kQQorZQ/1/351/480.mp4"
"1710317309-39","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/l/lia-taylor/4342/","Brunette in white lingerie is enjoying solo","https://stream.nudezz.com/videos/9000/9219/05.jpg","https://stream.nudezz.com/secure/1710320906/oRTe9Sh3BmDzXqPcX-bvHw/9000/9219/480.mp4"
"1710317311-40","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/avril-hall/58/","Adorable blonde is being banged so deep","https://stream.nudezz.com/videos/1/59/06.jpg","https://stream.nudezz.com/secure/1710320908/MUW-S1-6KT1X_5Y66JUouA/1/59/480.mp4"
"1710317314-41","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/w/whitney-westgate/4742/","Hot brunette gets banged and jizzed on","https://stream.nudezz.com/videos/9000/9287/10.jpg","https://stream.nudezz.com/secure/1710320911/FjEgXleWZNySRgiLgNxpjw/9000/9287/480.mp4"
"1710317316-42","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/m/megan-salinas/448/","Beautiful brunette gets fucked and jizzed on","https://stream.nudezz.com/videos/8000/8741/11.jpg","https://stream.nudezz.com/secure/1710320913/MGCrwd0Od8HEPp2VbU02YQ/8000/8741/480.mp4"
"1710317318-43","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/d/danni-gee/36/","Solo session from big-tittied brunette","https://stream.nudezz.com/videos/1/37/03.jpg","https://stream.nudezz.com/secure/1710320915/E-F7oOq2x95WLRfpctDqnA/1/37/480.mp4"
"1710317321-44","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/t/tiffany-thompson/215/","Gentle brunette is being fucked gently","https://stream.nudezz.com/videos/1/230/09.jpg","https://stream.nudezz.com/secure/1710320918/PdkuZmHYsnoapmjelMoyug/1/230/480.mp4"
"1710317324-45","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/m/melody-jordan/232/","Ginger princess gets fucked in bed","https://stream.nudezz.com/videos/1/250/04.jpg","https://stream.nudezz.com/secure/1710320920/jlmXQd5nD0XEgXVmBbLGIQ/1/250/480.mp4"
"1710317327-46","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/cassie-laine/424/","Sensual girls are practicing lesbian sex","https://stream.nudezz.com/videos/8000/8716/14.jpg","https://stream.nudezz.com/secure/1710320923/sIVPK9r8CFeIGc1Pv8aw7g/8000/8716/480.mp4"
"1710317329-47","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/coco-de-mal/4246/","Sweet brunette gets banged with passion","https://stream.nudezz.com/videos/9000/9292/02.jpg","https://stream.nudezz.com/secure/1710320926/2-4Yhmi_q0eSKWas1o1b_w/9000/9292/480.mp4"
"1710317332-48","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/k/katerina/106/","Sex with busty model in white stockings","https://stream.nudezz.com/videos/1/108/08.jpg","https://stream.nudezz.com/secure/1710320928/7G5xAdB1kCsG6WrRdsFOBw/1/108/480.mp4"
"1710317334-49","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/o/odette-delacroix/363/","Blonde and redhead sluts are fucking","https://stream.nudezz.com/videos/8000/8653/02.jpg","https://stream.nudezz.com/secure/1710320931/nh3mC2e01hAiVGXGhs7-UA/8000/8653/480.mp4"
"1710317337-50","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/abigaile-johnson/59/","Fall in love with passionate ginger babe","https://stream.nudezz.com/videos/1/60/04.jpg","https://stream.nudezz.com/secure/1710320934/ACrQd-PGa0YLweSbBTw0fw/1/60/480.mp4"
"1710317339-51","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/n/nici-dee/4360/","Girl in white shoes is masturbating","https://stream.nudezz.com/videos/9000/9302/12.jpg","https://stream.nudezz.com/secure/1710320936/_d1mpJqfEMRw82MRP3fAFQ/9000/9302/480.mp4"
"1710317341-52","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/aaliyah-love/416/","Blonde in black bra gets banged","https://stream.nudezz.com/videos/8000/8708/11.jpg","https://stream.nudezz.com/secure/1710320938/-k1KhvNXxfaeS_qHzLBdmA/8000/8708/480.mp4"
"1710317344-53","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/e/ella-milano/67/","Ginger girl is being fucked really deep","https://stream.nudezz.com/videos/1/68/14.jpg","https://stream.nudezz.com/secure/1710320941/u7LI-NkwOpXFp1_ivpepBA/1/68/480.mp4"
"1710317346-54","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/celeste-star/4230/","Girl is fingering her hairy twat outdoors","https://stream.nudezz.com/videos/9000/9189/11.jpg","https://stream.nudezz.com/secure/1710320943/_Zxsrmo9LzrLFjKIxaWqiA/9000/9189/480.mp4"
"1710317349-55","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/t/taylor-vixen/84/","Busty model in stockings is touching herself","https://stream.nudezz.com/videos/1/85/01.jpg","https://stream.nudezz.com/secure/1710320946/gO3i8clBaf8yFbWKqPqp6Q/1/85/480.mp4"
"1710317351-56","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/cassie-laine/197/","Sweet lesbians are having gentle sex","https://stream.nudezz.com/videos/1/208/13.jpg","https://stream.nudezz.com/secure/1710320948/4vhtb7qHX-jz9tGRU4AZDw/1/208/480.mp4"
"1710317353-57","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/l/leyla-peachbloom/4631/","Fucking skinny brunette in black panties","https://stream.nudezz.com/videos/9000/9255/05.jpg","https://stream.nudezz.com/secure/1710320950/QGk0qZH-1YybS5XCi4qXbA/9000/9255/480.mp4"
"1710317356-58","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/j/jessi-gold/4483/","Elegant blonde is masturbating her sweet twat","https://stream.nudezz.com/videos/9000/9201/08.jpg","https://stream.nudezz.com/secure/1710320953/5-rTAk1wYOU_FIs94TXyHg/9000/9201/480.mp4"
"1710317358-59","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/alisson/200/","Ginger chick gets fucked hard outdoors","https://stream.nudezz.com/videos/1/211/04.jpg","https://stream.nudezz.com/secure/1710320955/HxGXHs6-L5wh4JxN-EFAOQ/1/211/480.mp4"
"1710317360-60","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/m/megan-coxx/219/","Brunette princess is being fucked deep","https://stream.nudezz.com/videos/1/235/02.jpg","https://stream.nudezz.com/secure/1710320957/lpo9qIqWhSxeMrKw1sJ1ZQ/1/235/480.mp4"
